Track_URI,Track_Name,Main_Artist,Album,Track_Popularity,Release_Year,Album_Popularity,Artist_Popularity,Artist_Followers,Artist_Genres
spotify:track:6IQXiMI3MhJ8UBmLyDrSsj,Rockafella,Redman,"Dare Iz A Darkside",0,1994,0,62,1125384,"east coast hip hop, hardcore hip hop, new jersey rap, wu fam"
spotify:track:3dHt1W8sTis0f5RkRe3nZ9,"It's Funky Enough","The D.O.C.","Hip-Hop - The Old Skool Collection",22,2014,37,40,415029,"g funk, gangster rap, hardcore hip hop, old school hip hop"
spotify:track:3X414ZlCf5U7pcpIaIcUkT,"Flava in Ya Ear","Craig Mack","Project: Funk Da World",58,1994,50,46,232752,"gangster rap, hardcore hip hop, hip hop"
spotify:track:27AHAtAirQapVldIm4c9ZX,Jump,"Kris Kross","Totally Krossed Out",71,1992,61,49,446584,"gangster rap, hardcore hip hop, hip hop, hip pop, old school atlanta hip hop"
spotify:track:7rBsYaybbcRhCDOZWU48e3,"Good Morning","Kanye West","Graduation (Alternative Business Partners)",0,2007,0,88,20708785,"chicago rap, hip hop, rap"
spotify:track:2jn1g66OeKkGmtqP8vxPB3,Firefights,CYNE,"All My Angles Are Right",0,2014,0,42,43759,"jazz rap"
spotify:track:1BGFMqn3VxVcps5oNpv87h,"The Format (feat. Masta Ace & Mr. Sos)",Cunninlynguists,"Strange Journey Volume Three",24,2014,43,43,156330,"alternative hip hop, underground rap"
spotify:track:7nNJKvP43S2mL52V3byxEP,Lowrider,"Cypress Hill","Greatest Hits From The Bong",25,2005,40,66,1863619,"chicano rap, gangster rap, hip hop, rap rock, west coast rap"
spotify:track:3pJ0avSP15CvCwgNcTfZJo,"Breathe In Breathe Out","Kanye West","The College Dropout (Explicit)",0,2004,0,88,20708785,"chicago rap, hip hop, rap"
spotify:track:3jagJCUbdqhDSPuxP8cAqF,"Work It","Missy Elliott","Under Construction",72,2002,64,69,2264090,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop"
spotify:track:5fybLNY2eBRnEGg8SUW6yk,"The Light",Common,"Go! Common Classics",54,2010,49,59,894504,"alternative hip hop, chicago rap, conscious hip hop, hardcore hip hop, hip hop, political hip hop"
spotify:track:5n5uyFpfopa4mNdSN0gTaH,Wing$,"Macklemore & Ryan Lewis","The Heist",64,2012,75,72,2639347,"pop rap, seattle hip hop"
